               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11494,            0.014778,            0.080493,                   0,                   0,                   0,                   0,            0.076702,           0.0098848,            0.052036,              0.0991,              0.0001,              0.0001
                   1,             0.11321,            0.013516,            0.075758,                   0,                   0,                   0,                   0,            0.075936,            0.010046,             0.05175,            0.097299,          0.00029941,          0.00029941
                   2,             0.11084,            0.012913,            0.075657,                   0,                   0,                   0,                   0,            0.074894,            0.010264,            0.051348,            0.095498,          0.00049802,          0.00049802
                   3,             0.10478,            0.020798,            0.075091,                   0,                   0,                   0,                   0,            0.073828,            0.010422,            0.050881,            0.093696,          0.00069584,          0.00069584
                   4,             0.10172,            0.016141,            0.074573,                   0,                   0,                   0,                   0,            0.072048,            0.010756,            0.050349,            0.091893,          0.00089287,          0.00089287
                   5,            0.098607,              0.0198,            0.072256,                   0,                   0,                   0,                   0,            0.069439,            0.011221,            0.049519,            0.090089,           0.0010891,           0.0010891
                   6,            0.087684,            0.027609,            0.069113,          0.00072046,                0.05,          0.00039828,          0.00011949,            0.066753,            0.011688,            0.048702,            0.088285,           0.0012846,           0.0012846
                   7,            0.087722,             0.02298,            0.068424,          0.00067935,                0.05,          0.00039002,          0.00011701,             0.06423,            0.012096,            0.047794,            0.086479,           0.0014792,           0.0014792
                   8,             0.08244,            0.021904,            0.064339,            0.001321,                 0.1,          0.00079675,          0.00015935,             0.06311,            0.012246,            0.047146,            0.084673,           0.0016731,           0.0016731
                   9,            0.079112,              0.0201,            0.063175,           0.0037834,                0.25,           0.0024494,          0.00047651,             0.06243,            0.012244,            0.046471,            0.082866,           0.0018661,           0.0018661
                  10,            0.075552,            0.030795,            0.060751,           0.0064155,                 0.5,           0.0051053,           0.0012243,            0.061226,            0.012403,            0.045641,            0.081058,           0.0020584,           0.0020584
                  11,            0.088311,            0.018653,            0.059508,            0.010298,                 0.9,             0.01168,           0.0022764,            0.058471,            0.012896,            0.044552,             0.07925,           0.0022499,           0.0022499
                  12,            0.082326,            0.024347,            0.060366,            0.009822,                0.95,            0.011584,           0.0028378,            0.056611,            0.013175,            0.043631,            0.077441,           0.0024406,           0.0024406
                  13,            0.071225,            0.023704,             0.05626,           0.0086891,                0.95,            0.014747,           0.0034909,            0.054297,            0.013522,            0.042464,            0.075631,           0.0026305,           0.0026305
                  14,            0.074307,            0.026818,             0.05481,           0.0087715,                   1,            0.026826,           0.0064941,            0.051931,            0.013801,            0.041154,             0.07382,           0.0028196,           0.0028196
                  15,            0.067439,            0.023131,            0.052362,           0.0083972,                   1,            0.060431,            0.026582,            0.048147,            0.014334,            0.039455,            0.072008,           0.0030079,           0.0030079
                  16,            0.067743,            0.029508,            0.049068,            0.007928,                   1,            0.092456,            0.031677,            0.048015,            0.013911,            0.037405,            0.070195,           0.0031955,           0.0031955
                  17,            0.054848,            0.021288,            0.040964,           0.0077321,                   1,              0.1472,             0.03059,            0.043688,            0.014414,            0.035045,            0.068382,           0.0033822,           0.0033822
                  18,             0.06145,            0.024611,            0.046181,             0.30449,                0.45,             0.38394,             0.20147,            0.040384,            0.014094,             0.03249,            0.066568,           0.0035681,           0.0035681
                  19,            0.059642,            0.021998,             0.04505,             0.13663,             0.48611,             0.32038,             0.07772,            0.039981,            0.013476,            0.030778,            0.064753,           0.0037533,           0.0037533
                  20,            0.069497,            0.020567,            0.046039,              0.1494,                0.55,             0.25919,             0.07665,            0.039971,            0.013431,            0.030869,            0.062938,           0.0039376,           0.0039376
                  21,             0.06763,            0.021394,            0.044426,            0.046815,                 0.3,            0.073646,            0.023143,            0.046791,            0.012591,            0.029805,            0.061121,           0.0041212,           0.0041212
                  22,            0.069516,            0.024999,            0.040991,             0.36106,                 0.9,             0.37586,             0.11356,            0.039549,              0.0125,            0.029092,            0.059304,            0.004304,            0.004304
                  23,            0.070915,             0.02289,            0.038768,            0.056618,                0.95,            0.063751,            0.032982,            0.046922,            0.012025,             0.02891,            0.057486,            0.004486,            0.004486
                  24,            0.063544,            0.020354,            0.037286,            0.063979,                0.85,            0.074913,            0.035412,            0.051883,            0.011327,            0.029247,            0.055667,           0.0046672,           0.0046672
                  25,            0.065485,             0.01431,            0.039394,             0.19069,                0.85,             0.21168,            0.087023,            0.054899,            0.011155,            0.028962,            0.053848,           0.0048475,           0.0048475
                  26,            0.074313,            0.019286,            0.036298,             0.12086,                 0.9,             0.15712,            0.057978,            0.056837,            0.010669,            0.029014,            0.052027,           0.0050272,           0.0050272
                  27,            0.067389,            0.015735,            0.033605,             0.12086,                 0.9,             0.15712,            0.057978,            0.056837,            0.010669,            0.029014,            0.050206,            0.005206,            0.005206
                  28,            0.067961,            0.015208,            0.035504,            0.078692,             0.62799,            0.099046,            0.029256,            0.050718,            0.012278,            0.029195,            0.048384,            0.005384,            0.005384
                  29,            0.073262,            0.014972,            0.039294,             0.26244,                 0.8,             0.43055,              0.1579,            0.049079,            0.011288,            0.028949,            0.046561,           0.0055612,           0.0055612
                  30,            0.064574,            0.023631,             0.03452,             0.26244,                 0.8,             0.43055,              0.1579,            0.049079,            0.011288,            0.028949,            0.044738,           0.0057377,           0.0057377
                  31,            0.065435,            0.018672,             0.03228,            0.055213,                 0.6,            0.072673,            0.034196,            0.061403,            0.011477,            0.028858,            0.042913,           0.0059133,           0.0059133
                  32,            0.076225,            0.017181,            0.033864,             0.47614,             0.92524,             0.59965,             0.20165,            0.035828,            0.012267,            0.027587,            0.041088,           0.0060882,           0.0060882
                  33,            0.061447,            0.015608,            0.032873,             0.47614,             0.92524,             0.59965,             0.20165,            0.035828,            0.012267,            0.027587,            0.039262,           0.0062622,           0.0062622
                  34,            0.065615,            0.017769,             0.03501,             0.12658,                 0.8,             0.15776,            0.029651,            0.057865,            0.011511,            0.027328,            0.037435,           0.0064355,           0.0064355
                  35,            0.069357,            0.016499,            0.033254,             0.29464,             0.81917,             0.31485,            0.078949,            0.054689,            0.010337,            0.026297,            0.035608,            0.006608,            0.006608
                  36,            0.074744,            0.013495,            0.033854,             0.29464,             0.81917,             0.31485,            0.078949,            0.054689,            0.010337,            0.026297,             0.03378,           0.0067797,           0.0067797
                  37,            0.062804,            0.015696,            0.034368,             0.48983,                 0.9,             0.56195,             0.18255,             0.04207,           0.0099888,            0.024818,            0.031951,           0.0069505,           0.0069505
                  38,            0.056131,            0.015845,            0.032383,             0.28689,                0.65,             0.35079,             0.11338,            0.055295,            0.010362,            0.024409,            0.030121,           0.0071207,           0.0071207
                  39,            0.074059,            0.014675,            0.032146,             0.28689,                0.65,             0.35079,             0.11338,            0.055295,            0.010362,            0.024409,             0.02829,             0.00729,             0.00729
                  40,            0.067082,            0.013637,            0.033897,             0.44661,                 0.9,             0.51913,             0.23172,            0.044268,           0.0095335,            0.023599,            0.026458,           0.0074585,           0.0074585
                  41,            0.064681,             0.01853,            0.033914,             0.31732,                0.85,             0.33239,             0.10345,              0.0523,           0.0096915,            0.023729,            0.024626,           0.0076262,           0.0076262
